Job Title,Skills
Job1,"Java, machine learning, data visualization"
Job2,"SQL, machine learning, deep learning"
Job3,"Python, cloud computing, deep learning"
Job4,"SQL, data analysis, AI"
Job5,"R, data analysis, AI"
Job6,"SQL, data analysis, deep learning"
Job7,"R, machine learning, AI"
Job8,"R, cloud computing, AI"
Job9,"Java, machine learning, AI"
Job10,"R, data analysis, deep learning"
Job11,"SQL, cloud computing, deep learning"
Job12,"SQL, machine learning, AI"
Job13,"C++, machine learning, deep learning"
Job14,"SQL, cloud computing, deep learning"
Job15,"Python, machine learning, deep learning"
Job16,"Python, cloud computing, data visualization"
Job17,"Java, cloud computing, data visualization"
Job18,"Python, cloud computing, deep learning"
Job19,"SQL, machine learning, data visualization"
Job20,"C++, cloud computing, deep learning"
